ONSConstID,A1,A2,A3,Err1
E14000669,0.276210059,0.720605085,0.088192781,0.221712021
E14000670,0.523630836,0.631298699,0.076746568,0.237837198
E14000671,0.464353637,0.692254802,0.085695289,0.244484684
E14000672,0.564480703,0.701597344,0.084973885,0.262778348
E14000673,0.194859555,0.220525412,0.08163413,0.089311859
E14000674,0.347475697,0.282278614,0.089885194,0.133676618
E14000675,0.284522812,0.488063709,0.087642527,0.187119652
E14000676,0.213312659,0.442744511,0.103408128,0.16848535
E14000677,0.227147729,0.665730998,0.09110899,0.201729826
E14000678,0.485343314,0.504568879,0.066211844,0.290148221
E14000679,0.127858316,0.469154263,0.131491838,0.097350518
E14000680,0.636424343,0.487294201,0.068292017,0.358742319
E14000681,0.596422479,0.541918437,0.070911929,0.341493903
E14000682,0.489259559,0.536743486,0.071117637,0.258553952
E14000683,0.58273408,0.633133693,0.06401865,0.263533963
E14000684,0.44087426,0.57624998,0.084883764,0.209200709
E14000685,0.504347067,0.540191845,0.082861906,0.339802685
E14000686,0.568834155,0.522328216,0.069564303,0.358830146
E14000687,0.231375063,0.482108552,0.10041139,0.142557703
E14000688,0.368028426,0.577668351,0.08016062,0.295263355
E14000689,0.543347553,0.563593444,0.065276091,0.32367401
E14000690,0.408016466,0.52779656,0.10089239,0.181501505
E14000691,0.369195923,0.478841324,0.088449633,0.194128906
E14000692,0.426957457,0.373768999,0.09316515,0.216611226
E14000693,0.619586837,0.610737674,0.077079214,0.284445674
E14000694,0.595839098,0.479621735,0.073773717,0.335038857
E14000695,0.521062253,0.633037158,0.086379585,0.253041718
E14000696,0.350193415,0.543272896,0.09755699,0.155265624
E14000697,0.586059958,0.416252362,0.058574912,0.341717974
E14000698,0.328726341,0.447064016,0.181541161,0.196833713
E14000699,0.629932999,0.554141921,0.075412291,0.351583309
E14000700,0.61086655,0.582225593,0.072787811,0.326864093
E14000701,0.317932374,0.594321961,0.10188914,0.200963053
E14000702,0.499763323,0.479785958,0.103064187,0.317203877
E14000703,0.469580987,0.309197484,0.082987862,0.187156947
E14000704,0.546870488,0.618355223,0.07951498,0.251088299
E14000705,0.542739583,0.58066257,0.075608992,0.335378437
E14000706,0.588245421,0.56557081,0.066423322,0.281726024
E14000707,0.618181818,0.620327016,0.068895213,0.31792859
E14000708,0.176562909,0.478778455,0.089879935,0.187442874
E14000709,0.239317863,0.560469318,0.097591687,0.134224574
E14000710,0.428369645,0.561979212,0.078047832,0.252345728
E14000711,0.554370959,0.640390193,0.104431853,0.26535038
E14000712,0.50319025,0.586132618,0.095625736,0.262466626
E14000713,0.619369051,0.619747154,0.080197313,0.252526471
E14000714,0.620041348,0.610124869,0.070274257,0.300771323
E14000715,0.555891177,0.65377208,0.088261895,0.261284658
E14000716,0.421722361,0.701935325,0.10221774,0.169998964
