ONSConstID,leavehanretty,Turnout17,Con17,Lab17,ld17,snp17,PC17,UKIP17,Green17,Turnout15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Turnout19,con19,lab19,ld19,brexit19,green19,snp19,pc19,Long_term_unemployed,Population_density,Industry_manufacturing,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Turn10,Region
S14000051,0.402813083,0.681331226,0.086952786,0.114447738,0.485973278,0.289942862,0,0.012157924,0,0.658,0.089,0.071,0.414,0.378,0,0.048,0,0.676975242,0.098747841,0.066925734,0.448229706,0.038860104,0,0.339982729,0,0.0076,0.18,0.0548,0.105,0.1065,0.6197,0.1056,0,0.0632,0,0,0.585,S92000003
S14000052,0.360949483,0.691247998,0.275490722,0.318395366,0.031663628,0.374450284,0,0,0,0.762,0.123,0.327,0.021,0.507,0,0,0.014,0.689960698,0.225775935,0.23048589,0.07368866,0,0,0.470049515,0,0.0167,7.32,0.0967,0.146,0.5403,0.1052,0.1907,0,0,0,0,0.686,S92000003
S14000053,0.341897539,0.679968701,0.194716149,0.345775796,0.031813387,0.406693517,0,0,0,0.754,0.076,0.386,0.022,0.509,0,0,0,0.669162072,0.175726488,0.254340358,0.067728159,0,0,0.502204995,0,0.0245,6.13,0.0883,0.0995,0.5961,0.0953,0.1807,0,0,0,0,0.654,S92000003
S14000054,0.401714195,0.717998384,0.422765648,0.103813683,0.050247453,0.423173217,0,0,0,0.748,0.327,0.081,0.038,0.505,0,0.02,0.021,0.744848485,0.366373252,0.045694948,0.06990162,0.012038612,0,0.505991567,0,0.0119,0.26,0.0575,0.3054,0.1641,0.1234,0.3961,0,0,0,0,0.669,S92000003
S14000055,0.433522127,0.716917111,0.248634732,0.12209393,0.20913299,0.402558902,0,0,0,0.772,0.062,0.049,0.359,0.481,0,0.019,0.025,0.735183478,0.173066794,0.061401089,0.246306654,0.017808322,0,0.48315734,0,0.0117,0.06,0.0568,0.1223,0.1511,0.5263,0.1511,0,0.0189,0.0223,0,0.672,S92000003
S14000056,0.373417415,0.635121976,0.195412014,0.375471772,0.042420192,0.37026262,0,0.009140588,0,0.697,0.076,0.352,0.018,0.526,0,0.023,0,0.664796461,0.1497193,0.344741049,0.05188311,0,0,0.441963788,0,0.0233,18.62,0.0899,0.0966,0.608,0.12,0.161,0,0.0144,0,0,0.615,S92000003
S14000057,0.322849138,0.743145374,0.370593241,0.220884999,0.034099198,0.367594619,0,0,0,0.775,0.231,0.255,0.027,0.456,0,0,0.031,0.768478086,0.335252756,0.081242873,0.054484987,0,0.017901938,0.511117446,0,0.0149,0.41,0.0609,0.2394,0.418,0.1453,0.1729,0,0.0084,0.0159,0,0.708,S92000003
S14000058,0.386072232,0.712294935,0.478527845,0.110527845,0.086411622,0.324532688,0,0,0,0.752,0.288,0.045,0.214,0.416,0,0.018,0.016,0.734375,0.426506702,0.045571281,0.117218109,0,0,0.410703909,0,0.007,0.28,0.0704,0.3026,0.1363,0.3842,0.1568,0,0.0088,0,0.0114,0.684,S92000003
S14000059,0.38005553,0.652096092,0.171993739,0.376607763,0.022888642,0.428509856,0,0,0,0.739,0.07,0.313,0.016,0.59,0,0,0,0.67862351,0.142578644,0.284514843,0.041869739,0,0.019206912,0.496145326,0,0.0269,5.71,0.0848,0.0767,0.6129,0.0812,0.201,0,0.0162,0,0,0.64,S92000003
W07000041,0.509420042,0.70609021,0.277892258,0.418631413,0.012818797,0,0.273958305,0.016699227,0,0.699,0.212,0.311,0.022,0,0.305,0.147,0,0.703938373,0.354536004,0.3006949,0,0.059750492,0,0,0.285018604,0.0208,0.98,0.0767,0.2248,0.3336,0.0753,0,0.2621,0.0349,0,0,0.688,W92000004
W07000042,0.5477104,0.728748382,0.414353848,0.52191892,0.026155563,0,0.037571668,0,0,0.698,0.327,0.405,0.037,0,0.048,0.164,0.018,0.703262463,0.436695335,0.414151681,0.061141517,0.051368256,0,0,0.036643211,0.0141,2.48,0.1804,0.3464,0.4078,0.1554,0,0.0499,0.0177,0,0.0228,0.692,W92000004
W07000043,0.577478829,0.710329615,0.403932082,0.520889187,0.024061662,0,0.026161752,0.024955317,0,0.666,0.319,0.4,0.042,0,0.039,0.176,0.024,0.684960742,0.419875372,0.424827939,0.059244792,0.062267485,0,0,0.033784412,0.0147,5.33,0.1963,0.3227,0.3959,0.1831,0,0.0388,0.0253,0,0.0343,0.655,W92000004
W07000044,0.573314184,0.703514364,0.436595235,0.488800866,0.024649493,0,0.049954406,0,0,0.642,0.316,0.372,0.053,0,0.076,0.155,0.02,0.67418622,0.45326852,0.389717285,0.043152809,0.036442801,0.013270905,0,0.06414768,0.0172,6.86,0.1878,0.254,0.3688,0.2579,0,0.0615,0.0235,0,0.0344,0.648,W92000004
W07000045,0.554835551,0.678769728,0.236577264,0.534628923,0.013583858,0,0.182217044,0.032992911,0,0.65,0.143,0.413,0.019,0,0.23,0.163,0.018,0.631762451,0.299610284,0.421756075,0,0.094290273,0,0,0.184343368,0.0183,3.46,0.1067,0.1436,0.4249,0.1042,0,0.2994,0.0279,0,0,0.673,W92000004
W07000046,0.501766498,0.733169249,0.426935229,0.498661576,0.020427418,0,0.036620151,0.014086361,0,0.692,0.371,0.37,0.036,0,0.071,0.112,0.027,0.720216314,0.412998516,0.45429612,0.050267524,0.031001304,0,0,0.051436536,0.011,2.61,0.081,0.32,0.3843,0.1907,0,0.0662,0.0156,0,0.0231,0.675,W92000004
W07000047,0.426585298,0.655311819,0.313287914,0.597553779,0.034037874,0,0.041011748,0,0.011641006,0.598,0.226,0.426,0.09,0,0.064,0.135,0.051,0.627737482,0.289617639,0.516131733,0.083533352,0.055344683,0,0,0.055372593,0.0144,24.64,0.053,0.2081,0.3466,0.3324,0,0.0404,0.0201,0.0114,0.0256,0.58,W92000004
W07000048,0.620992238,0.600792878,0.259933445,0.634460593,0.017776387,0,0.048038909,0.029579908,0.010210757,0.58,0.153,0.53,0.041,0,0.104,0.172,0,0.574491018,0.280979183,0.518329909,0.041960749,0.084636231,0.017362042,0,0.056731886,0.017,16.5,0.08,0.1476,0.5147,0.183,0,0.0667,0.0257,0.0097,0.0525,0.546,W92000004
W07000049,0.599654508,0.666800289,0.17737766,0.681195142,0.01800529,0,0.082992666,0.040429241,0,0.633,0.119,0.489,0.044,0,0.116,0.158,0.023,0.62262069,0.206278878,0.538261915,0.033926198,0.098360656,0.014241408,0,0.085796569,0.0179,3.75,0.1734,0.1425,0.5192,0.1626,0,0.071,0.0158,0,0.0412,0.61,W92000004
W07000050,0.303544146,0.680862906,0.198107365,0.624098893,0.134144227,0,0.024747938,0.00849704,0.010404538,0.673,0.147,0.4,0.271,0,0.05,0.065,0.064,0.653091182,0.201472909,0.612237578,0.150590598,0.024054325,0,0,0,0.0144,52.49,0.047,0.2157,0.2877,0.4143,0,0.0345,0.0212,0.0159,0,0.591,W92000004
W07000051,0.390805434,0.773895063,0.421110299,0.501345585,0.032947599,0,0.033408942,0.011187574,0,0.761,0.424,0.383,0.038,0,0.045,0.077,0.025,0.769543236,0.362321042,0.49489234,0.067975544,0.02489272,0.015569817,0,0.030494057,0.0122,20.67,0.0562,0.375,0.3709,0.1832,0,0.0333,0.0237,0.0076,0,0.727,W92000004
W07000052,0.612428866,0.652017263,0.101196259,0.640514938,0.00841025,0,0.223160068,0.026718484,0,0.609,0.067,0.507,0.015,0,0.27,0.127,0.014,0.589749712,0.157715404,0.543654274,0.02064638,0.125936172,0.014776331,0,0.137271439,0.0228,6.97,0.1465,0.0641,0.553,0.1065,0,0.1812,0.0115,0,0,0.603,W92000004
W07000053,0.608801543,0.62143631,0.309505842,0.575971272,0.022170756,0,0.053579328,0.038772802,0,0.613,0.231,0.446,0.034,0,0.057,0.19,0.02,0.596438312,0.317516677,0.418173015,0.049252206,0.154454487,0.021842049,0,0.038761567,0.0198,6.93,0.1472,0.2003,0.4476,0.1664,0,0.0533,0.0229,0.0116,0.044,0.615,W92000004
